ID,Profile,Agency Lobbied,Year,Total Number of Clients,Number of reports listing agency
1999 - Federal Mine Safety & Health Review Cmsn,http://www.opensecrets.org//lobby/agencysum.php?id=061&year=1999,Federal Mine Safety & Health Review Cmsn,1999,1,1
1999 - Minority Business Development Agency,http://www.opensecrets.org//lobby/agencysum.php?id=110&year=1999,Minority Business Development Agency,1999,1,1
1999 - Occupational Safety & Health Review Co,http://www.opensecrets.org//lobby/agencysum.php?id=079&year=1999,Occupational Safety & Health Review Co,1999,1,1
1999 - Office of Policy Development,http://www.opensecrets.org//lobby/agencysum.php?id=020&year=1999,Office of Policy Development,1999,1,1
1999 - St Lawrence Seaway Development Corp,http://www.opensecrets.org//lobby/agencysum.php?id=178&year=1999,St Lawrence Seaway Development Corp,1999,1,1
1999 - Technology Administration,http://www.opensecrets.org//lobby/agencysum.php?id=114&year=1999,Technology Administration,1999,1,1
1999 - US Institute of Peace,http://www.opensecrets.org//lobby/agencysum.php?id=103&year=1999,US Institute of Peace,1999,1,1
1998 - ACCESS Board,http://www.opensecrets.org//lobby/agencysum.php?id=199&year=1998,ACCESS Board,1998,1,1
1998 - African Development Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=043&year=1998,African Development Foundation,1998,1,1
1998 - Bureau of Engraving & Printing,http://www.opensecrets.org//lobby/agencysum.php?id=185&year=1998,Bureau of Engraving & Printing,1998,1,1
1998 - Bureau of the Census,http://www.opensecrets.org//lobby/agencysum.php?id=105&year=1998,Bureau of the Census,1998,1,1
1998 - Federal Mine Safety & Health Review Cmsn,http://www.opensecrets.org//lobby/agencysum.php?id=061&year=1998,Federal Mine Safety & Health Review Cmsn,1998,1,1
1998 - Legal Services Corp,http://www.opensecrets.org//lobby/agencysum.php?id=100&year=1998,Legal Services Corp,1998,1,1
1998 - National Endowment for the Arts,http://www.opensecrets.org//lobby/agencysum.php?id=206&year=1998,National Endowment for the Arts,1998,1,1
1998 - National Institute of Justice,http://www.opensecrets.org//lobby/agencysum.php?id=159&year=1998,National Institute of Justice,1998,1,1
1998 - Ofc/Surface Mining Reclamation & Enforce,http://www.opensecrets.org//lobby/agencysum.php?id=145&year=1998,Ofc/Surface Mining Reclamation & Enforce,1998,1,1
1998 - Office of Juvenile Justice & Delinq Prev,http://www.opensecrets.org//lobby/agencysum.php?id=160&year=1998,Office of Juvenile Justice & Delinq Prev,1998,1,1
1998 - Overseas Private Investment Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=203&year=1998,Overseas Private Investment Corporation,1998,1,1
1998 - Selective Service System,http://www.opensecrets.org//lobby/agencysum.php?id=089&year=1998,Selective Service System,1998,1,1
1998 - US Commission on Civil Rights,http://www.opensecrets.org//lobby/agencysum.php?id=095&year=1998,US Commission on Civil Rights,1998,1,1
1998 - US Marshals Service,http://www.opensecrets.org//lobby/agencysum.php?id=152&year=1998,US Marshals Service,1998,1,1
2014 - Alt Ag Research & Commercialization Ctr,http://www.opensecrets.org//lobby/agencysum.php?id=104&year=2014,Alt Ag Research & Commercialization Ctr,2014,1,2
2014 - Bureau of Transportation Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=180&year=2014,Bureau of Transportation Statistics,2014,1,2
2014 - Defense Field Activities,http://www.opensecrets.org//lobby/agencysum.php?id=028&year=2014,Defense Field Activities,2014,1,2
2014 - Defense Investigative Service,http://www.opensecrets.org//lobby/agencysum.php?id=121&year=2014,Defense Investigative Service,2014,1,2
2014 - Federal Labor Relations Authority,http://www.opensecrets.org//lobby/agencysum.php?id=058&year=2014,Federal Labor Relations Authority,2014,1,2
2014 - Federal Mediation & Conciliation Servi,http://www.opensecrets.org//lobby/agencysum.php?id=060&year=2014,Federal Mediation & Conciliation Servi,2014,1,2
2014 - Federal Mine Safety & Health Review Cmsn,http://www.opensecrets.org//lobby/agencysum.php?id=061&year=2014,Federal Mine Safety & Health Review Cmsn,2014,1,2
2014 - Inter-American Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=066&year=2014,Inter-American Foundation,2014,1,2
2014 - Legal Services Corp,http://www.opensecrets.org//lobby/agencysum.php?id=100&year=2014,Legal Services Corp,2014,1,2
2014 - Marine Mammal Commission,http://www.opensecrets.org//lobby/agencysum.php?id=217&year=2014,Marine Mammal Commission,2014,1,2
2014 - Office for Victims of Crime,http://www.opensecrets.org//lobby/agencysum.php?id=161&year=2014,Office for Victims of Crime,2014,1,2
2014 - Office of Administration,http://www.opensecrets.org//lobby/agencysum.php?id=017&year=2014,Office of Administration,2014,1,2
2014 - Peace Corps,http://www.opensecrets.org//lobby/agencysum.php?id=084&year=2014,Peace Corps,2014,1,2
2014 - Pentagon Force Protection Agency,http://www.opensecrets.org//lobby/agencysum.php?id=251&year=2014,Pentagon Force Protection Agency,2014,1,2
2014 - US International Development Cooperation,http://www.opensecrets.org//lobby/agencysum.php?id=097&year=2014,US International Development Cooperation,2014,1,2
2013 - African Development Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=043&year=2013,African Development Foundation,2013,1,2
2013 - Merit Systems Protection Board,http://www.opensecrets.org//lobby/agencysum.php?id=067&year=2013,Merit Systems Protection Board,2013,1,2
2013 - Technology Administration,http://www.opensecrets.org//lobby/agencysum.php?id=114&year=2013,Technology Administration,2013,1,2
2012 - American Battle Monuments Commission,http://www.opensecrets.org//lobby/agencysum.php?id=245&year=2012,American Battle Monuments Commission,2012,1,2
2012 - Selective Service System,http://www.opensecrets.org//lobby/agencysum.php?id=089&year=2012,Selective Service System,2012,1,2
2011 - Defense Investigative Service,http://www.opensecrets.org//lobby/agencysum.php?id=121&year=2011,Defense Investigative Service,2011,1,2
2011 - Federal Law Enforcement Training Center,http://www.opensecrets.org//lobby/agencysum.php?id=186&year=2011,Federal Law Enforcement Training Center,2011,1,2
2011 - Natl Bioethics Advisory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=1001&year=2011,Natl Bioethics Advisory Commission,2011,1,2
2011 - Occupational Safety & Health Review Co,http://www.opensecrets.org//lobby/agencysum.php?id=079&year=2011,Occupational Safety & Health Review Co,2011,1,2
2011 - USA Freedom Corps,http://www.opensecrets.org//lobby/agencysum.php?id=252&year=2011,USA Freedom Corps,2011,1,2
2010 - Defense Contract Audit Agency,http://www.opensecrets.org//lobby/agencysum.php?id=118&year=2010,Defense Contract Audit Agency,2010,1,2
2010 - Natl Bioethics Advisory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=1001&year=2010,Natl Bioethics Advisory Commission,2010,1,2
2009 - US Chem Safety & Haz Invest Board,http://www.opensecrets.org//lobby/agencysum.php?id=224&year=2009,US Chem Safety & Haz Invest Board,2009,1,2
2008 - African Development Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=043&year=2008,African Development Foundation,2008,1,2
2008 - Corrections Program Office,http://www.opensecrets.org//lobby/agencysum.php?id=164&year=2008,Corrections Program Office,2008,1,2
2008 - US Natl Central Bureau-INTERPOL,http://www.opensecrets.org//lobby/agencysum.php?id=153&year=2008,US Natl Central Bureau-INTERPOL,2008,1,2
2007 - Bureau of Economic Analysis,http://www.opensecrets.org//lobby/agencysum.php?id=106&year=2007,Bureau of Economic Analysis,2007,1,2
2007 - National Mediation Board,http://www.opensecrets.org//lobby/agencysum.php?id=074&year=2007,National Mediation Board,2007,1,2
2007 - US Chem Safety & Haz Invest Board,http://www.opensecrets.org//lobby/agencysum.php?id=224&year=2007,US Chem Safety & Haz Invest Board,2007,1,2
2007 - US Institute of Peace,http://www.opensecrets.org//lobby/agencysum.php?id=103&year=2007,US Institute of Peace,2007,1,2
2006 - Risk Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=243&year=2006,Risk Management Agency,2006,1,2
2005 - Defense Information Systems Agency,http://www.opensecrets.org//lobby/agencysum.php?id=119&year=2005,Defense Information Systems Agency,2005,1,2
2005 - Defense Security Assistance Agency,http://www.opensecrets.org//lobby/agencysum.php?id=124&year=2005,Defense Security Assistance Agency,2005,1,2
2005 - Legal Services Corp,http://www.opensecrets.org//lobby/agencysum.php?id=100&year=2005,Legal Services Corp,2005,1,2
2005 - Medicare Payment Advisory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=227&year=2005,Medicare Payment Advisory Commission,2005,1,2
2005 - Merit Systems Protection Board,http://www.opensecrets.org//lobby/agencysum.php?id=067&year=2005,Merit Systems Protection Board,2005,1,2
2005 - Risk Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=243&year=2005,Risk Management Agency,2005,1,2
2005 - Veterans' Employment & Training Service,http://www.opensecrets.org//lobby/agencysum.php?id=170&year=2005,Veterans' Employment & Training Service,2005,1,2
2004 - Agency for Toxic Substances & Disease,http://www.opensecrets.org//lobby/agencysum.php?id=133&year=2004,Agency for Toxic Substances & Disease,2004,1,2
2004 - Bureau of Justice Assistance,http://www.opensecrets.org//lobby/agencysum.php?id=157&year=2004,Bureau of Justice Assistance,2004,1,2
2004 - Defense Logistics Agency,http://www.opensecrets.org//lobby/agencysum.php?id=123&year=2004,Defense Logistics Agency,2004,1,2
2004 - Defense Security Assistance Agency,http://www.opensecrets.org//lobby/agencysum.php?id=124&year=2004,Defense Security Assistance Agency,2004,1,2
2004 - Fed Retirement Thrift Investment Board,http://www.opensecrets.org//lobby/agencysum.php?id=063&year=2004,Fed Retirement Thrift Investment Board,2004,1,2
2004 - Office of Government Ethics,http://www.opensecrets.org//lobby/agencysum.php?id=080&year=2004,Office of Government Ethics,2004,1,2
2004 - Office of Justice Program,http://www.opensecrets.org//lobby/agencysum.php?id=156&year=2004,Office of Justice Program,2004,1,2
2004 - Peace Corps,http://www.opensecrets.org//lobby/agencysum.php?id=084&year=2004,Peace Corps,2004,1,2
2004 - Railroad Retirement Board,http://www.opensecrets.org//lobby/agencysum.php?id=087&year=2004,Railroad Retirement Board,2004,1,2
2004 - Research & Special Programs Administra,http://www.opensecrets.org//lobby/agencysum.php?id=179&year=2004,Research & Special Programs Administra,2004,1,2
2004 - Risk Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=243&year=2004,Risk Management Agency,2004,1,2
2004 - St Lawrence Seaway Development Corp,http://www.opensecrets.org//lobby/agencysum.php?id=178&year=2004,St Lawrence Seaway Development Corp,2004,1,2
2004 - US Commission on Civil Rights,http://www.opensecrets.org//lobby/agencysum.php?id=095&year=2004,US Commission on Civil Rights,2004,1,2
2004 - US Natl Central Bureau-INTERPOL,http://www.opensecrets.org//lobby/agencysum.php?id=153&year=2004,US Natl Central Bureau-INTERPOL,2004,1,2
2004 - Veterans' Employment & Training Service,http://www.opensecrets.org//lobby/agencysum.php?id=170&year=2004,Veterans' Employment & Training Service,2004,1,2
2003 - Ballistic Missile Defense Organization,http://www.opensecrets.org//lobby/agencysum.php?id=115&year=2003,Ballistic Missile Defense Organization,2003,1,2
2003 - Defense Logistics Agency,http://www.opensecrets.org//lobby/agencysum.php?id=123&year=2003,Defense Logistics Agency,2003,1,2
2003 - Federal Labor Relations Authority,http://www.opensecrets.org//lobby/agencysum.php?id=058&year=2003,Federal Labor Relations Authority,2003,1,2
2003 - Joint Chiefs of Staff,http://www.opensecrets.org//lobby/agencysum.php?id=027&year=2003,Joint Chiefs of Staff,2003,1,2
2003 - National Mediation Board,http://www.opensecrets.org//lobby/agencysum.php?id=074&year=2003,National Mediation Board,2003,1,2
2003 - Office of Justice Program,http://www.opensecrets.org//lobby/agencysum.php?id=156&year=2003,Office of Justice Program,2003,1,2
2003 - Peace Corps,http://www.opensecrets.org//lobby/agencysum.php?id=084&year=2003,Peace Corps,2003,1,2
2003 - Tennessee Valley Authority,http://www.opensecrets.org//lobby/agencysum.php?id=092&year=2003,Tennessee Valley Authority,2003,1,2
2003 - US Immigration & Customs Enforcement,http://www.opensecrets.org//lobby/agencysum.php?id=226&year=2003,US Immigration & Customs Enforcement,2003,1,2
2003 - Veterans' Employment & Training Service,http://www.opensecrets.org//lobby/agencysum.php?id=170&year=2003,Veterans' Employment & Training Service,2003,1,2
2002 - Forest Service,http://www.opensecrets.org//lobby/agencysum.php?id=212&year=2002,Forest Service,2002,1,2
2002 - Legal Services Corp,http://www.opensecrets.org//lobby/agencysum.php?id=100&year=2002,Legal Services Corp,2002,1,2
2002 - Merit Systems Protection Board,http://www.opensecrets.org//lobby/agencysum.php?id=067&year=2002,Merit Systems Protection Board,2002,1,2
2002 - National Archives & Records Admin,http://www.opensecrets.org//lobby/agencysum.php?id=069&year=2002,National Archives & Records Admin,2002,1,2
2002 - Railroad Retirement Board,http://www.opensecrets.org//lobby/agencysum.php?id=087&year=2002,Railroad Retirement Board,2002,1,2
2002 - US Arms Control & Disarmament Agency,http://www.opensecrets.org//lobby/agencysum.php?id=094&year=2002,US Arms Control & Disarmament Agency,2002,1,2
2001 - Bureau of Justice Assistance,http://www.opensecrets.org//lobby/agencysum.php?id=157&year=2001,Bureau of Justice Assistance,2001,1,2
2001 - Defense Contract Audit Agency,http://www.opensecrets.org//lobby/agencysum.php?id=118&year=2001,Defense Contract Audit Agency,2001,1,2
2001 - Forest Service,http://www.opensecrets.org//lobby/agencysum.php?id=212&year=2001,Forest Service,2001,1,2
2001 - National Archives & Records Admin,http://www.opensecrets.org//lobby/agencysum.php?id=069&year=2001,National Archives & Records Admin,2001,1,2
2001 - National Mediation Board,http://www.opensecrets.org//lobby/agencysum.php?id=074&year=2001,National Mediation Board,2001,1,2
2001 - Peace Corps,http://www.opensecrets.org//lobby/agencysum.php?id=084&year=2001,Peace Corps,2001,1,2
2000 - Merit Systems Protection Board,http://www.opensecrets.org//lobby/agencysum.php?id=067&year=2000,Merit Systems Protection Board,2000,1,2
2000 - Research & Special Programs Administra,http://www.opensecrets.org//lobby/agencysum.php?id=179&year=2000,Research & Special Programs Administra,2000,1,2
1999 - Administration on Aging,http://www.opensecrets.org//lobby/agencysum.php?id=130&year=1999,Administration on Aging,1999,1,2
1999 - Defense Logistics Agency,http://www.opensecrets.org//lobby/agencysum.php?id=123&year=1999,Defense Logistics Agency,1999,1,2
1999 - Legal Services Corp,http://www.opensecrets.org//lobby/agencysum.php?id=100&year=1999,Legal Services Corp,1999,1,2
1999 - Merit Systems Protection Board,http://www.opensecrets.org//lobby/agencysum.php?id=067&year=1999,Merit Systems Protection Board,1999,1,2
1999 - National Capital Planning Commission,http://www.opensecrets.org//lobby/agencysum.php?id=070&year=1999,National Capital Planning Commission,1999,1,2
1999 - National Mediation Board,http://www.opensecrets.org//lobby/agencysum.php?id=074&year=1999,National Mediation Board,1999,1,2
