Facility,Duplicates note,Owner / Operator of Facility,Address,State,Coordinates,Total Penalties,Last Penalty Amount,Clean Air Act Compliance,Clean Water Act Compliance,Resource Conservation and Recovery Act Compliance,Safe Drinking Water Act Compliance,Significant Noncompliance,Quarters in Noncompliance
Stickney Water Reclamation Plant,,Metropolitan Water Reclamation District of Greater Chicago,"6001 West Pershing RoadCicero, Il 60804",Illinois,"41.821562851000465, -87.77296940399964","$675,000","$675,000",Unknown,Noncompliance,No Violation,,No,7
Stoney Creek Technologies,,Stoney Creek Technologies,"3300 West 4th StreetMarcus Hook, Pa 19061",Pennsylvania,"39.829856264000455, -75.39769756899966","$8,137,500","$8,137,500",,,Noncompliance,,No,3
Sun Drilling Products,,Sun Drilling Products,"503 Main StreetBelle Chasse, La 70037",Louisiana,"29.858296906000476, -89.98308369799969","$415,620","$405,000",No Violation,"Significant Noncompliance Category I, Effluent violations of monthly average limits",No Violation,,Yes,12
Sunoco - Haverhill North Coke,,Sunoco,"1019 Haverhill/ohio Furnace RoHaverhill, Oh 45636",Ohio,"38.58530620500045, -82.83292970399964","$400,000","$400,000",No Violation,Noncompliance,No Violation,,No,10
Sunoco - Marcus Hook Refinery,,Sunoco,"100 Green StMarcus Hook, Pa 19061",Pennsylvania,"39.81216243600045, -75.41348676399963","$2,484,130","$37,500",Noncompliance,Noncompliance,No Violation,,No,12
Sunoco - Philadelphia Refinery,,Sunoco,"3144 Passyunk AvenuePhiladelphia, Pa 19145",Pennsylvania,"39.92068312400045, -75.19520703999967","$2,640,912","$2,150,000","Addressed Violation, State/Local Lead Enforcement",Noncompliance,Noncompliance,,Yes,12
Superacueducto Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 663 Km 1.6Arecibo, Pr 00612",Puerto Rico,"18.47136016400043, -66.75582003599965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,,Yes,12
Superior Forge & Steel,,Superior Forge & Steel,"1820 Mcclain Rd.Lima, Oh 45804",Ohio,"40.710440948000496, -84.10834655399964","$319,668","$2,500","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Supreme Asset Management & Recovery,,Supreme Asset Management & Recovery,"1950 Rutgers University BoulevardLakewood, Nj 08701",New Jersey,"40.07339503300045, -74.15954766799968","$360,000",$0,,,Significant Violation,,Yes,12
Suraci Metal Finishing,,Suraci Metal Finishing,"90 River StreetNew Haven, Ct 06513",Connecticut,"41.303203521000455, -72.89684844799967","$700,000","$700,000",No Violation,,Noncompliance,,No,12
Tallman Island Wastewater Treatment Plant,,City of New York City,"127-01 Powells Cove BoulevardCollege Point, Ny 11356",New York,"40.79391666000049, -73.84055402699965","$340,000","$100,000",No Violation,Noncompliance,,,No,12
TDY Industries - DBA Wah Chang,,TDY Industries,"1600 Old Salem Road NeAlbany, Or 97321",Oregon,"44.66084326300046, -123.06186245699968","$825,000","$825,000",No Violation,No Violation,Significant Violation,,Yes,12
Tennessee Valley Authority - Allen Fossil Plant,,Tennessee Valley Authority,"2574 Plant Rd.Memphis, Tn 38109",Tennessee,"35.070162551000465, -90.14376138799969","$8,000,000","$8,000,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Tennessee Valley Authority - Bull Run Fossil Plant,,Tennessee Valley Authority,"1265 Egdemoor RdClinton, Tn 37716",Tennessee,"36.09876818200047, -84.14907966499965","$8,000,000","$8,000,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Tennessee Valley Authority - Colbert Fossil Plant,,Tennessee Valley Authority,"900 Colbert Steam Plant RdTuscumbia, Al 35674",Alabama,"34.73171294100047, -87.85530238599966","$8,150,000","$150,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,No Violation,Yes,12
Tennessee Valley Authority - Cumberland Fossil Plant,,Tennessee Valley Authority,"815 Cumberland City Rd.Cumberland City, Tn 37050",Tennessee,"36.400278580000474, -87.66421074499965","$8,000,000","$8,000,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Tennessee Valley Authority - John Sevier Fossil Plant,,Tennessee Valley Authority,"611 Old Highway 70Rogersville, Tn 37857",Tennessee,"36.351527547000444, -82.95518103499967","$8,000,000","$8,000,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Tennessee Valley Authority - Kingston Fossil Plant,,Tennessee Valley Authority,"714 Swan Pond Rd.Harriman, Tn 37748",Tennessee,"35.897716896000475, -84.53160094899965","$8,000,000","$8,000,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Tennessee Valley Authority - Paradise Fossil Plant,,Tennessee Valley Authority,"13246 State Rt 176 Suite 10Drakesboro, Ky 42337",Kentucky,"37.20502801600048, -87.07822763599967","$8,000,000","$8,000,000","Addressed Violation, EPA Lead Enforcement",No Violation,Noncompliance,No Violation,Yes,12
Tennessee Valley Authority - Widows Creek Fossil Plant,,Tennessee Valley Authority,"County Road 96Stevenson, Al 35772",Alabama,"34.88250548600047, -85.77226298299968","$8,475,000","$8,000,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,No Violation,Yes,12
"Tesoro - Alaska, Kenai Refinery",,Tesoro,"54741 Tesoro RoadKenai, Ak 99611",Alaska,"60.56643701900049, -151.23118942399972","$1,100,000","$1,100,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Tesoro - Anacortes Refinery,,Tesoro,"10200 W March Point RoadAnacortes, Wa 98221",Washington,"48.45914711000046, -122.5263762999997","$1,100,000","$1,100,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Tesoro - Carson Refinery,,Tesoro,"1801 E Sepulveda BlvdCarson, Ca 90745",California,"33.80822838200049, -118.2377634449997","$386,000","$386,000","Unaddressed Violation, State/Local Lead Enforcement",No Violation,Noncompliance,,Yes,12
Tesoro - Golden Eagle Refinery,,Tesoro,"150 Solano WayMartinez, Ca 94553",California,"38.0254733700005, -122.06814729399969","$1,109,000","$1,100,000","Addressed Violation, State/Local Lead Enforcement",No Violation,No Violation,,Yes,12
Tesoro - Hawaii Refinery,,Tesoro,"91-325 Komohana StreetKapolei, Hi 96707",Hawaii,"21.305704068000466, -158.09387411999975","$1,100,000","$1,100,000","Addressed Violation, EPA Lead Enforcement",,Noncompliance,,Yes,12
Teva Pharmaceuticals USA,,Teva Pharmaceuticals,"5000 Snyder DriveMexico, Mo 65265",Missouri,"39.15027506100046, -91.82286091799966","$2,860,733","$610,733","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Tin - DBA International Paper Bogalusa Mill,,Tin - DBA International Paper Bogalusa Mill,"4th StBogalusa, La 70427",Louisiana,"30.778869147000478, -89.86578870799968","$1,758,905","$25,000","Addressed Violation, State/Local Lead Enforcement",Noncompliance,No Violation,,Yes,12
Total Petrochemicals - Port Arthur Refinery,,TOTAL,"Highway 366 And 32nd StreetPort Arthur, Tx 77642",Texas,"29.92571024400047, -93.93311959899967","$2,900,000","$2,900,000","Unaddressed Violation, State/Local Lead Enforcement",No Violation,Noncompliance,,Yes,12
Trident Seafoods - Ketchikan Cannery,,Trident Seafoods,"720 Stedman StKetchikan, Ak 99901",Alaska,"55.3383324940005, -131.63473084599968","$2,500,000","$2,500,000",No Violation,Noncompliance,,,No,12
Trident Seafoods - Sand Point,,Trident Seafoods,"229 Main StSand Point, Ak 99661",Alaska,"55.228767217000495, -160.76247604399975","$2,500,000","$2,500,000",No Violation,No Violation,No Violation,Serious Violator,Yes,1
Tyler Pipe,,Tyler Pipe,"Hwy. 69, 4 Miles N. Of Loop 323Tyler, Tx 75706",Texas,"32.44462290200045, -95.30856585099968","$386,525","$24,675","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Union Foundry,,Union Foundry,"1501 West 17th StreetAnniston, Al 36201",Alabama,"33.666287534000446, -85.85377397099967","$1,268,357","$1,157,616",No Violation,Noncompliance,No Violation,No Violation,No,10
US Department of Energy - Hanford Site Richland,,Department of Energy,"825 Jadwin Ave.Richland, Wa 99352",Washington,"46.27709224400047, -119.27526135399972","$428,420",$0,No Violation,,Significant Violation,,Yes,12
US Department Of Energy - Los Alamos National Laboratory,,Department of Energy,"Po Box 1663 Ms K490Los Alamos, Nm 87545",New Mexico,"35.882777959000464, -106.3001566799997","$2,276,607","$21,333",No Violation,Noncompliance,Significant Violation,,Yes,12
US Ecology Texas,,US Ecology Texas,"3 1/2 South Petronila RoadRobstown, Tx 78380",Texas,"27.77977657100047, -97.65206327299967","$1,071,577","$622,463",,Noncompliance,Noncompliance,,No,12
Valero Refining - Meraux Refinery,,Valero Refining,"2500 East Saint Bernard HighwayMeraux, La 70075",Louisiana,"29.930495116000486, -89.94404577799969","$1,110,990","$75,000",Unknown,Noncompliance,No Violation,,No,12
Vertellus Agriculture & Nutrition Specialties,,Vertellus Agriculture & Nutrition Specialties,"1500 S Tibbs AveIndianapolis, In 46241",Indiana,"39.744229601000484, -86.21602670399966","$425,000","$425,000","Addressed Violation, EPA Lead Enforcement",,Noncompliance,,Yes,12
Victor Valley Wastewater Reclamation Authority,,City of Victorville,"20111 Shay RoadVictorville, Ca 92394",California,"34.61118898400048, -117.35617292899968","$704,000",$0,,Noncompliance,,,No,12
Villalba Regional Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road #150Villalba, Pr 00766",Puerto Rico,"18.128807324000434, -66.49214259099966","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Vineland City Electric Utility HH Down Generating Station,,Vineland Municipal Electric Utility,"211 North West AvenueVineland, Nj 08362",New Jersey,"39.48887174200047, -75.03519033799967","$850,000","$850,000","Addressed Violation, EPA Lead Enforcement",Unknown,No Violation,,Yes,12
Waianae Sewage Treatment Plant,,City and County of Honolulu,"86-100 Farrington HwyWaianae, Hi 96792",Hawaii,"21.46271507800043, -158.21165095999973","$2,550,000","$2,550,000",,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",,,Yes,11
Waimanalo Gulch Landfill,,City of Oahu,"92-460 Farrington HighwayKapolei, Hi 96707",Hawaii,"21.346645793000448, -158.12430703499973","$1,100,000","$1,100,000","Addressed Violation, EPA Lead Enforcement",No Violation,,,Yes,12
Wards Island Water Pollution Control Plant,,City of New York City,"7 Wards IslandWards Island, Ny 10035",New York,"40.78683190000049, -73.92819550099966","$642,000","$100,000",,Noncompliance,No Violation,,No,12
Washington Beef,,Washington Beef,"201 Elmwood RoadToppenish, Wa 98948",Washington,"46.374259819000486, -120.33332018999971","$1,506,500","$6,500",Unknown,Noncompliance,No Violation,,No,4
Waynesboro Sewage Treatment Plant,,City of Waynesboro,"Waynesboro Industrial ParkWaynesboro, Tn 38485",Tennessee,"35.33464248000047, -87.74917742199966","$330,000","$330,000",,Noncompliance,,,No,2
West Point Seattle Treatment Plant,,King County,"1400 Utah AveSeattle, Wa 98199",Washington,"47.66056583700049, -122.43066091499969","$447,449","$400,000","Addressed Violation, State/Local Lead Enforcement","Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,12
Western El Paso Refinery,,Western Refining,"6501 Trowbridge DrEl Paso, Tx 79905",Texas,"31.76939409600044, -106.40052700499967","$1,499,264","$49,264","Unaddressed Violation, State/Local Lead Enforcement",,Noncompliance,,Yes,12
Western Lake Superior Sanitary District,,Western Lake Superior Sanitary District,"2626 Courtland StreetDuluth, Mn 55806",Minnesota,"46.758871900000486, -92.12655026399966","$400,000","$400,000",No Violation,Noncompliance,No Violation,,No,9
Western Refining Southwest - Gallup Refinery,,Western Refining,"Interstate 40 Exit 39Jamestown, Nm 87347",New Mexico,"35.44048246900047, -108.44828829299968","$1,471,016","$737,008",,No Violation,Noncompliance,,No,12
"Westlake - Petrochemicals, Ethylene",,Westlake Chemical,"900 Highway 108Westlake, La 70669",Louisiana,"30.207271058000458, -93.32537769799967","$508,000","$8,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Westlake - PVC,,Westlake Chemical,"230 Johnson Riley RoadCalvert City, Ky 42029",Kentucky,"37.041356478000466, -88.35016718699967","$800,000","$800,000","Addressed Violation, State/Local Lead Enforcement",No Violation,Noncompliance,,Yes,12
Weston Power Plant,,Integrys,"2501 Morrison AveRothschild, Wi 54474",Wisconsin,"44.86083847200047, -89.65120813399966","$1,200,000","$1,200,000","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,No Violation,,Yes,12
Westward Seafoods - Dutch Harbor,,Westward Seafoods,"1 Captains Bay RoadDutch Harbor, Ak 99692",Alaska,"53.77996858400047, -166.24855819799976","$570,000","$570,000","Unaddressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Weylchem US,,Weylchem US,"2114 Larry Jeffers RoadElgin, Sc 29045",South Carolina,"34.13648169100048, -80.76627979299968","$523,348","$8,000",No Violation,Noncompliance,No Violation,,No,9
Wheelabrator Resource Recovery Plant,,Wheelabrator,"100 Salem TurnpikeSaugus, Ma 01906",Massachusetts,"42.449125740000454, -70.98082981299967","$2,000,000","$2,000,000",No Violation,No Violation,Significant Violation,,Yes,12
Whittier Narrows Water Reclamation Plant,,Los Angeles County,"301 N. Rosemead BoulevardSouth El Monte, Ca 91733",California,"34.03022542400049, -118.06709137399969","$312,000","$312,000",,Noncompliance,,,No,12
William E. Warne Power Plant,,State of California,"Pyramid Lake RdCastaic, Ca 91310",California,"34.472993129000486, -118.6361356589997","$438,000","$9,000",,"Significant Noncompliance Category I, Effluent violations of monthly average limits",,,Yes,11
Williamsport Sanitary Authority - West Plant,,City of Williamsport,"26 Arch StreetWilliamsport, Pa 17701",Pennsylvania,"41.22759309300045, -77.04574743799964","$320,000","$320,000",,Noncompliance,No Violation,,No,3
Willows Wastewater Treatment Plant,,City of Salem,"1600 South TehemaWillows, Ca 95988",California,"39.52311915700045, -122.1988272639997","$1,000,000",$0,,Noncompliance,,,No,9
Wisconsin Power and Light - Nelson Dewey Generating Station,,Wisconsin Power & Light,"11999 Cth VvCassville, Wi 53806",Wisconsin,"42.72821126400049, -91.01167073899967","$2,450,000","$2,450,000","Addressed Violation, EPA Lead Enforcement",Unknown,No Violation,,Yes,12
Wood River Refinery,,ConocoPhillips,"900 S Central AveRoxana, Il 62084",Illinois,"38.83713611200045, -90.07473908299966","$558,557","$25,224","Addressed Violation, EPA Lead Enforcement","Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",Significant Violation,,Yes,12
Wyoming Refining,,Wyoming Refining,"740 W. Main St.Newcastle, Wy 82701",Wyoming,"43.8512316230005, -104.21485993399966","$1,736,411","$380,000","Addressed Violation, State/Local Lead Enforcement",,No Violation,,Yes,12
Yabucoa Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"Carr 3 Km 100.5 Barrio La PicaYabucoa, Pr 00767",Puerto Rico,"18.040261553000448, -65.89618945399963","$1,119,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,,Yes,12
