Player,Team(s) when fined/suspended,Role when fined/suspended,Number of fines,Days of suspensions,Fined Amount,Age first fine (approximate),Date first fine,Date of Birth,Biography,Wikipedia Profile,Image
Kevin Kolb,Philadelphia Eagles,Quarterback,1,0,"$5,000",26.2,22/10/2010,24/08/1984,"Kevin Benjamin Kolb ( /ˈkɒb/ ; born August 24, 1984) is a retired American football quarterback . He was drafted by the Philadelphia Eagles in the second round of the 2007 NFL Draft . He has also been a member of the Arizona Cardinals and the Buffalo Bills . He played college football for the Houston Cougars .",http://en.wikipedia.org/wiki/Kevin_Kolb,//upload.wikimedia.org/wikipedia/commons/4/4a/DSC_0340_Kevin_Kolb_%282%29.jpg
Kevin Mathis,Atlanta Falcons,Cornerback,1,0,"$5,000",31.4,15/09/2005,29/04/1974,"Kevin Bryant Mathis (born April 29, 1974) is a former American football cornerback in the National Football League . He played professionally for the Dallas Cowboys , New Orleans Saints , and the Atlanta Falcons .",http://en.wikipedia.org/wiki/Kevin_Mathis,
Keyshawn Johnson,Carolina Panthers,Wide Receiver,1,0,"$5,000",36.4,06/12/2008,22/07/1972,"Joseph Keyshawn Johnson (born July 22, 1972) is a former American college and professional football player who was a wide receiver in the National Football League (NFL) for eleven seasons. He played college football for the University of Southern California , and earned All-American honors. The first pick in the 1996 NFL Draft , he played professionally for the New York Jets , Tampa Bay Buccaneers , Dallas Cowboys and Carolina Panthers . He retired from football following the 2006 season, and in 2009 became a television broadcaster for the sports channel ESPN . Keyshawn Johnson was a contestant on the 17th season of Dancing with the Stars, and was the 1st contestant eliminated from the season.",http://en.wikipedia.org/wiki/Keyshawn_Johnson,//upload.wikimedia.org/wikipedia/commons/9/96/Keyshawn_Johnson_2006-10-15.jpg
Knowshon Moreno,Denver Broncos,Running Backs,1,0,"$5,000",23.4,24/12/2010,16/07/1987,"Knowshon Rockwell Moreno (born July 16, 1987) is an American football running back for the Miami Dolphins of the National Football League (NFL). He was selected 12th overall in the 2009 NFL Draft by the Denver Broncos . He played college football at the University of Georgia .",http://en.wikipedia.org/wiki/Knowshon_Moreno,
Lance Laury,Seattle Seahawks,Linebacker,1,0,"$5,000",27.8,12/11/2009,17/01/1982,"Lance Laury (born January 17, 1982) is a former American football linebacker . He was signed by the Seattle Seahawks as an undrafted free agent in 2006. He played college football at South Carolina .",http://en.wikipedia.org/wiki/Lance_Laury,
Levi Brown,Arizona Cardinals,Left Tackle,1,0,"$5,000",25.6,30/10/2009,16/03/1984,"Levi James Brown, III (born March 16, 1984) is an American football offensive tackle who is currently a free agent in the National Football League (NFL). He was drafted by the Arizona Cardinals fifth overall in the 2007 NFL Draft . He played college football at Penn State .",http://en.wikipedia.org/wiki/Levi_Brown_(offensive_tackle),//upload.wikimedia.org/wikipedia/en/0/0a/Levi_Brown_9-7-08.jpg
Louis Delmas,Detroit Lions,Safety,1,0,"$5,000",23.5,01/10/2010,12/04/1987,"Louis Delmas (born April 12, 1987) is an American football safety for the Miami Dolphins of the National Football League (NFL). He was drafted by the Detroit Lions in the second round of the 2009 NFL Draft . He played college football at Western Michigan . Delmas is of Haitian descent. ",http://en.wikipedia.org/wiki/Louis_Delmas,//upload.wikimedia.org/wikipedia/commons/0/01/Louis_Delmas.JPG
Marques Murrell,New York Jets,Linebacker,1,0,"$5,000",24.6,21/10/2009,20/03/1985,"Marques Allen Murrell (born March 20, 1985) is an American football linebacker most recently for the Montreal Alouettes of the Canadian Football League . He was signed by the Philadelphia Eagles as an undrafted free agent in 2007. He played college football at Appalachian State .",http://en.wikipedia.org/wiki/Marques_Murrell,//upload.wikimedia.org/wikipedia/commons/c/c9/Marques_Murrell_preseason_Jets-v-Eagles%2C_Sep_2009_-_71.jpg
Matt Birk,Baltimore Ravens,Center,1,0,"$5,000",35.2,12/10/2011,23/07/1976,"Matthew Robert Birk (born July 23, 1976) is a former American football center . He was drafted by the Minnesota Vikings in the sixth round of the 1998 NFL Draft , and later played for the Baltimore Ravens . He played college football at Harvard . Birk is a two-time All-Pro , six-time Pro Bowl selection, and one-time Super Bowl champion.",http://en.wikipedia.org/wiki/Matt_Birk,//upload.wikimedia.org/wikipedia/commons/9/97/Matt_Birk_Ravens_Training_Camp_August_5%2C_2009.jpg
Matt Wilhelm,Green Bay Packers,Linebacker,1,0,"$5,000",29.8,28/11/2010,02/02/1981,"Matthew Wilhelm (born February 2, 1981) is a former American college and professional football player and a current radio/TV football analyst.",http://en.wikipedia.org/wiki/Matt_Wilhelm,//upload.wikimedia.org/wikipedia/commons/d/d1/Matt_Wilhelm_at_49ers_training_camp_2010-08-11_2.JPG
Michael Johnson,New York Giants,Safety,1,0,"$5,000",22.7,30/10/2009,07/02/1987,"Michael D. Johnson (born February 7, 1987) is an American football defensive end for the Tampa Bay Buccaneers of the National Football League (NFL). He was drafted by the Cincinnati Bengals in the third round of the 2009 NFL Draft. He played college football at Georgia Tech. ",http://en.wikipedia.org/wiki/Michael_Johnson_(defensive_end),//upload.wikimedia.org/wikipedia/commons/c/c0/Michael_Johnson_%28defensive_end%29.JPG
Mike Flanagan,Green Bay Packers,Center,1,0,"$5,000",30.1,19/12/2003,10/11/1973,"Michael Christopher Flanagan (born November 10, 1973) is a former American football center who played twelve seasons in the National Football League (NFL). He played college football for the University of California, Los Angeles (UCLA). In the third round of the 1996 NFL Draft , the Green Bay Packers selected him as the 90th overall pick. Flanagan played from 1998 to 2005 with the Packers then with the Houston Texans from 2006 to 2007.",http://en.wikipedia.org/wiki/Mike_Flanagan_(American_football),//upload.wikimedia.org/wikipedia/commons/9/98/Mike_Flanagan_Texans.jpg
Mike McKenzie,Green Bay Packers,Cornerback,1,0,"$5,000",26.6,13/12/2002,26/04/1976,"Michael Terrance McKenzie (born April 26, 1976) is a former American football cornerback in the National Football League . He was drafted by the Green Bay Packers in the third round of the 1999 NFL Draft . He also played for the New Orleans Saints . He played college football at Memphis .",http://en.wikipedia.org/wiki/Mike_McKenzie_(American_football),
Mike Vrabel,New England Patriots,Linebacker,1,0,"$5,000",32.2,13/10/2007,14/08/1975,"Michael George Vrabel ( /ˈvreɪbəl/ ; born August 14, 1975) is a former American football linebacker and current linebackers coach for the Houston Texans in the National Football League . He played college football at Ohio State University , where he earned consensus All-American honors. He was chosen by the Pittsburgh Steelers in the third round of the 1997 NFL Draft . He also played professionally for the New England Patriots and Kansas City Chiefs . After spending three years coaching linebackers and defensive linemen at Ohio State , Vrabel joined the Houston Texans in January 2014 as linebackers coach.",http://en.wikipedia.org/wiki/Mike_Vrabel,//upload.wikimedia.org/wikipedia/commons/c/c2/Mike_Vrabel.jpg
Mike Wright,New England Patriots,Defensive Tackle,1,0,"$5,000",27.6,09/10/2009,01/03/1982,"Michael Wright (born March 1, 1982) is an American football defensive end who is currently a free agent in the National Football League . He was originally signed by the Patriots as an undrafted free agent in 2005. He played college football at Cincinnati .",http://en.wikipedia.org/wiki/Mike_Wright,//upload.wikimedia.org/wikipedia/commons/5/5e/Mike-Wright_8-28-09_Patriots-vs-Redskins.jpg
Nate Wayne,Green Bay Packers,Outside Linebacker,1,0,"$5,000",27.9,13/12/2002,12/01/1975,"Nathaniel Wayne, Jr. (born January 12, 1975 in Chicago, Illinois ) is a former American football linebacker in the National Football League . He played college football at the University of Mississippi (Ole Miss.) He graduated with a degree in criminal justice. He was known as ""Mr. Monday Night,"" as he consistently performed well on Monday Night Football . ",http://en.wikipedia.org/wiki/Nate_Wayne,
Omar Gaither,Philadelphia Eagles,Inside Linebacker,1,0,"$5,000",25.6,16/10/2009,18/03/1984,"Omar Thabiti Gaither (born March 18, 1984) is an American football linebacker of the National Football League (NFL), currently a free agent. He was drafted by the Philadelphia Eagles in the fifth round of the 2006 NFL Draft . He has played for the Philadelphia Eagles , Carolina Panthers , Houston Texans , and Oakland Raiders . He played college football at Tennessee .",http://en.wikipedia.org/wiki/Omar_Gaither,//upload.wikimedia.org/wikipedia/commons/9/99/Omar_Gaither_on_sidelines_in_2007.jpg
Patrick Kerney,Seattle Seahawks,Defense,1,0,"$5,000",31.7,19/09/2008,30/12/1976,"Patrick Manning Kerney ( /ˈkɜrni/ ; born December 30, 1976) is a former American football defensive end who played in the National Football League (NFL) for eleven seasons. He played college football for the University of Virginia . He was drafted by the Atlanta Falcons in the first round of the 1999 NFL Draft .",http://en.wikipedia.org/wiki/Patrick_Kerney,//upload.wikimedia.org/wikipedia/commons/d/d1/Patrick_Kerney_sacks_Aaron_Rodgers.jpg
Patrick Peterson,Arizona Cardinals,Cornerback,1,0,"$5,000",21.2,07/10/2011,11/07/1990,"Patrick De'mon Peterson (born July 11, 1990) is an American football cornerback for the Arizona Cardinals of the National Football League (NFL). He played college football for Louisiana State University (LSU), earned All-American honors, and was recognized as the best college defensive back in the country. He was drafted fifth overall by the Arizona Cardinals in the 2011 NFL Draft. Patrick Peterson recently signed a 5 year, $70 million contract extension with the Arizona Cardinals, making him the highest paid defensive back in the league. Peterson is regarded by some to be the best cornerback in the NFL.",http://en.wikipedia.org/wiki/Patrick_Peterson,//upload.wikimedia.org/wikipedia/commons/c/c4/Patrick_Peterson.jpg
Phil Dawson,Cleveland Browns,Kicker,1,0,"$5,000",27.6,12/09/2002,23/01/1975,"Philip Drury Dawson (born January 23, 1975) is an American football placekicker for the San Francisco 49ers in the National Football League (NFL). He played for the Cleveland Browns from 1999 to 2012 and holds their franchise record for most field goals made, passing Hall of Famer Lou Groza in 2010. He played college football at Texas .",http://en.wikipedia.org/wiki/Phil_Dawson,//upload.wikimedia.org/wikipedia/commons/b/b0/Phil_Dawson_2012.jpg
Quinton Ganther,Buffalo Bills,Running Backs,1,0,"$5,000",26.4,11/12/2010,15/07/1984,"Quinton Ganther (born July 15, 1984) is a former American football running back . He was drafted by the Tennessee Titans in the seventh round of the 2006 NFL Draft . He played college football at Utah .",http://en.wikipedia.org/wiki/Quinton_Ganther,//upload.wikimedia.org/wikipedia/commons/4/4b/Quinton_Ganther.JPG
Reggie Bush,New Orleans Saints,Running Backs,1,0,"$5,000",21.9,28/01/2007,02/03/1985,"Reginald Alfred ""Reggie"" Bush, Jr. (born March 2, 1985) is an American football running back for the Detroit Lions of the National Football League (NFL). He played college football for the University of Southern California (USC), where he earned consensus All-American honors twice, and was recognized as the top college running back. He was drafted by the New Orleans Saints second overall in the 2006 NFL Draft . Bush won a Super Bowl title with the Saints in 2010, and has also played for the Miami Dolphins .",http://en.wikipedia.org/wiki/Reggie_Bush,//upload.wikimedia.org/wikipedia/commons/6/6f/Reggie_Bush_in_2009.jpg
Rolando McClain,Oakland Raiders,Inside Linebacker,1,0,"$5,000",21.4,08/12/2010,14/07/1989,"Rolando Marquise McClain (born July 14, 1989) is an American football linebacker for the Dallas Cowboys of the National Football League (NFL). He played college football for the University of Alabama, where he was recognized as a unanimous All-American and the best college linebacker in the nation, and helped Alabama win the 2010 BCS National Championship. Drafted eighth overall by the Oakland Raiders in 2010, McClain played three seasons in the NFL, leading the Raiders in tackles in 2011. After various off-the-field incidents, however, he was cut by the Raiders in April 2013. Signed to one-year contract with the Baltimore Ravens, he retired from football in May 2013 at the age of 23. However, in July 2014, the Dallas Cowboys traded a 6th round draft pick in exchange for the technically retired McClain and a 7th round pick.",http://en.wikipedia.org/wiki/Rolando_McClain,//upload.wikimedia.org/wikipedia/commons/9/95/Rolando_McClain.JPG
Roy Lewis,Seattle Seahawks,Cornerback,1,0,"$5,000",24.5,12/11/2009,19/05/1985,"Roy Lewis, Jr. (born May 19, 1985) is a former American football cornerback . He was signed by the Pittsburgh Steelers as an undrafted free agent in 2008. He played college football at Washington .",http://en.wikipedia.org/wiki/Roy_Lewis_(American_football),//upload.wikimedia.org/wikipedia/commons/9/9a/Roy_Lewis.jpg
