Company,"Know to use the ""Double Irish Arrangement""?",Discloses Likely Tax Payments from Repatriation,Citizen for Tax Justice ID,Category,Description,Turnover,Profit,Employees,Address,Profile on Irish Times,Coordinates,Image,Sources,Sources Link,Homepage,Twitter
Almac Group,,,,Health,"Almac is a pharmaceutical service provider with over 30 year’s experience. The company provides a range of services including research and development, pharmaceutical testing and clinical trials as well as the commercialisation of pharmaceutical products. The company has experience in biomarker discovery and development through its partners and through internal R&D.Almac provides comprehensive support from drug discovery through to scale-up and launch of new drugs. Pharmaceutical development includes pre-formulation of drugs, testing and taking them to market. The company has three chemical trial sites globally, with one in Northern Ireland situated at Craigavon. The company also specialises in the design and manufacture of drug packaging including blistering, bottling and walleting/carding of pharmaceuticals.","€361,100,000","€17,800,000","3,092",20 Seagoe Industrial Estate  Craigavon  BT63 5QD,http://www.top1000.ie/almac-group,"54.4433,-6.425055",http://www.top1000.ie/images/logo/almac-group,,,http://www.almacgroup.com/,@AlmacGroup
Alps Electric,,,,Manufacturing,"Alps Electric is a Japanese manufacturer of electronic components for mobile devices, home electronics, vehicles and industrial equipment. It supplies over 40,000 different components to about 2,000 companies all over the world. Its Irish operation is based in Cork and it employs almost 400 people.","€48,800,000","-€300,000",396,Clara Road  Mill Street  Co Cork,http://www.top1000.ie/alps-electric,"51.897872,-8.471087",,,,http://www.alps.ie/,
Alstom Ireland,,,,Energy,"Alstom is a global company specialising in transport, rail infrastructure, marine, power generation and conversion. It designs, builds and services products and systems for energy and transport infrastructure, which includes maintenance expertise in systems integration.Alstom Ireland is based at the Luas Depot, Naas Road, Dublin 22. Alstom is responsible for the LUAS trams, power, maintenance, service and infrastructure. Globally Alstom employs 70,000 people in 70 countries.","€35,400,000","€4,600,000",134,13 -17 Dawson Street  Dublin 2,http://www.top1000.ie/alstom-ireland,"53.341508,-6.257937",http://www.top1000.ie/images/logo/alstom-ireland,,,http://www.alstom.com/,@AlstomPower
Altera,,,,Business Technology,"Alerta is an IT company whose main customers are semiconductor firms. It designs, manufactures and markets programmable logic devices, hardcopy devices, pre-defined design building blocks and software development tools. Ireland is the administrative center for Europe and Japan and employs 25 people.","€501,900,000","€13,200,000",25,First Floor  Building 2100  Cork Airport Business Park  Co Cork,http://www.top1000.ie/altera,"51.84982,-8.48441",http://www.top1000.ie/images/logo/altera,,,http://www.altera.com/,@alteracorp
Amazon Data Services,,,,Retailing,"Amazon has two main corporate entites in Ireland - Amazon Data Services Ireland Limited, which provides technological support for Amazon's websites, and Amazon CS Ireland Ltd (ACSIL) , based in Cork which provides customer service support. Together, they employed 655 at the end of 2011, while in May 2012 the company announced it was adding 100 new software and engineering jobs to its development centre in Kilmianhan, Dublin, which is home to a team of engineers and developers that supports the design and deployment of Amazon websites.I","€290,800,000","€13,600,000",358,One Kilmainham Square Inchicore Road  Kilmainham  Dublin 8,http://www.top1000.ie/amazon-data-services,"53.341198,-6.300625",http://www.top1000.ie/images/logo/amazon-data-services,,,http://www.amazon.com/,@AMAZON
AMCo,,,,Pharma,"Amdipharm is an emerging pharmaceutical enterprise comprising a series of companies operating internationally. Amdipharm was formed in 2002 and specialises in marketing internationally branded products to primary and secondary care prescribers.Since 2002 and through twelve acquisitions, Amdipharm now offers 35 products which sell in over 100 countries across the world.","€31,000,000","€200,000",1,102 Block B  The Crescent Building  Northwood  Santry  Dublin 9,http://www.top1000.ie/amco,"53.402806,-6.260164",,,,http://www.amdipharm.com/,
Amcor,,,,Manufacturing,"Amcor is a multinational packaging company with origins in Australia but a global presence. Amcor Flexibles Sligo supplies packaging to the healthcare market. In 2013, it employed 58 people in Ireland.","€16,900,000","€3,500,000",58,Finisklin Industrial Estate  Finisklin  Sligo,http://www.top1000.ie/amcor,"54.273006,-8.485041",,,,http://www.amcor.com/,
Amdipharm Mercury (AmCo),,,,Pharma,"Amdipharm Mercury (AMCo) is an international speciality pharmaceuticals company. AMCo is the result of the merger of Amdipharm and the Mercury Pharma Group to create a single, consolidated, international specialty pharmaceuticals company by the company's private equity owners, Cinven.","€75,100,000","€28,300,000",169,"102 Block B, The Crescent Building, Northwood Santry, Dublin 9",http://www.top1000.ie/amdipharm-mercury-amco,"53.402806,-6.260164",,,,http://www.amcolimited.com/,
Amdocs,,,,Business Technology,"Amdocs is a provider of software and services for billing, customer relationship management, and operations support systems. Its customers include telecommunications companies such as AT&T, BT Group, Sprint, and O2 Ireland. The company also offers outsourced customer service and data center operations. Headquartered in Chesterfield, Missouri, Amdocs has more than 20,000 employees and serves customers in more than fifty countries.","€746,300,000","€30,500,000",96,"East Point Business Park  1st Floor  Block S, Dublin 3",http://www.top1000.ie/amdocs,"53.346258,-6.223298",http://www.top1000.ie/images/logo/amdocs,,,http://amdocs.com/,@Amdocs
Amgen,,Yes,Amgen Inc.,Pharma,Amgen provides drug therapies for patients with cancer and renal disease in hospital and in the community in IrelandIt also provides a nursing service to support patients in the community on Amgen products. The company's medical team works with physicians throughout Ireland on numerous clinical research programmes.,"€9,900,000","€800,000",29,"21 Northwood Court  Santry  Dublin 9, Ireland",http://www.top1000.ie/amgen,"53.401154,-6.260312",http://www.top1000.ie/images/logo/amgen,Citizen For Tax Justice 2013,http://ctj.org/pdf/applenotalone.pdf,http://www.amgen.co.uk/about/amgen_ireland.html,@amgen
Amt-Sybex,,,,Business Technology,"AMT-Sybex manufactures software for the energy and infrastructure industries. The technology was co-founded in 1990 in Ireland by Pearse Mee. The company provides consultancy services and software to the utility, transport and energy sectors. It carries out most of its business in Britain and Ireland. Clients include water companies, energy companies like Bord Gais and the ESB, most of the UK's main public transport providers and public bodies such as the NHS. Board members include Lord Sebastian Coe and former head of corporate finance at Davy Stockbrokers, Tom Byrne.","€37,600,000","€5,000,000",256,"Oak House, Leopardstown Office Park Foxrock, Dublin 18",http://www.top1000.ie/amtsybex,"53.26079,-6.202575",http://www.top1000.ie/images/logo/amtsybex,,,http://www.amt-sybex.com/,@amtsybex
An Post,,,,Communications,"An Post is Ireland's national postal service. It provides postal, communication, retail, and money transmission services. Each day An Post collects, processes and delivers more than 2.5 million items of mail to 2.1 million business and residential addresses using a road fleet of 2,680 vehicles and 1,645 bicycles. It serves 1.7 million customers every week. It has a network of 1,150 Post Offices and 180 postal agents in addition to over 2,500 PostPoint payment channels at retail outlets nationwide.","€807,300,000","-€37,200,000","10,389","General Post Office Headquarters  Dublin 1, Co Dublin",http://www.top1000.ie/an-post,"53.34942,-6.260378",http://www.top1000.ie/images/logo/an-post,,,http://www.anpost.ie/,@postvox
Analog Devices,,,,Professional Services Consultancy,"Analog Devices is a multinational electronics frim specialising in data conversion and signal condition technology. The semiconductor company's analog, mixed-signal, and digital signal processing (DSP) integrated circuits (IC) play a fundamental role in converting, conditioning, and processing real-world phenomena such as light, sound, temperature, motion, and pressure into electrical signals to be used in a wide array of electronic equipment.","€280,100,000",,"1,240",Raheen Industrial Estate  Limerick.,http://www.top1000.ie/analog-devices,"52.624459,-8.658272",http://www.top1000.ie/images/logo/analog-devices,,,http://www.analog.com/,@ADI_News
Andor Technology,,,,Technology,"Andor Technology Ltd (Andor) is based in Belfast, Northern Ireland and operates at the high-value end of the global scientific digital camera market. Andor was setup in 1989 out of Queen's University in Belfast, and distributes its products to 10,000 customers in 55 countries.In October 2013 UK company Oxford Instruments plc said it would acquire Andor Technology for approximately £176 million in cash.","€66,000,000","€7,700,000",344,7 Millennium Way  Springvale Business Park  Belfast  BT12 7AL,http://www.top1000.ie/andor-technology,"54.597398,-5.967722",http://www.top1000.ie/images/logo/andor-technology,,,http://www.andorplc.com/,@AndorTechnology
AOL Global Operations,,,,Consumer Technology,"AOL Global Operations Limited is a division of AOL Inc. AOL has been based in Dublin for the past 12 years and Dublin is the development engine for Europe and works alongside sister development centres in Palo Alto, Dulles, New York, and Frankfurt.","€17,500,000","€3,000,000",153,The Brunel Building  Block 7A  Heuston South Quarter  Dublin 8,http://www.top1000.ie/aol-global-operations,"53.344386,-6.29757",http://www.top1000.ie/images/logo/aol-global-operations,,,http://www.aol.ie/,@aolireland
Aon Centre for Innovation and Analytics Ltd,,,,Financial Services Insurance,Aon Centre for Innovation and Analytics Ltd is a global research and innovation centre for Aon Risk Services. It is involved in the development of a proprietary technology platform for analyzing and reporting global insurance transactions. It also manages treasury functions for numerous Aon companies.,"€99,600,000","€27,600,000",460,Aon Ireland  Metropolitan Building  James Joyce Street  Dublin 1,http://www.top1000.ie/aon-centre-for-innovation-and-analytics-ltd,"53.351928,-6.253667",http://www.top1000.ie/images/logo/aon-centre-for-innovation-and-analytics-ltd,,,http://www.aon.com/ireland/,@AonCorp
APC,,,,Construction,"Atlantic Projects Company Limited (APC) assemble heavy-duty industrial gas and steam turbines. It also provides boiler installation and maintenance services in Ireland and Europe.It has operations in Ireland, the UK, Far East, Middle East and US.","€20,500,000","€100,000",191,3 Marine Road  Dun Laoghaire  Co. Dublin,http://www.top1000.ie/apc,"53.2933,-6.135033",,,,http://www.apc.ie/,
Applegreen,,,,Energy,Motorway service station operator Petrogas is the company behind the Applegreen service stations. Applegreen is part of a consortium that holds a public-private partnership (PPP) contract with the National Roads Authority (NRA) to build and operate six motorway service areas.,"€718,800,000","€6,200,000",630,Block 17  Joyce Way  Parkwest  Dublin 12,http://www.top1000.ie/applegreen,"53.330041,-6.375113",http://www.top1000.ie/images/logo/applegreen,,,http://www.applegreen.ie/,@goapplegreen
Applus+,,,,Transport,"Applus was incorporated in 2008 when it was awarded the National Car Test contract from the Road Safety Authority. The contract was previously held by Vicuna Ltd (formerly National Car Testing Service Ltd). Internationally Applus Automative, an arm of the wider Applus Group conducts over 17 million inspections on an annual basis across Europe, North America and South America.","€64,300,000","€4,500,000",655,Lakedrive 3026  Citywest Business Campus  Naas Road  Dublin 24,http://www.top1000.ie/applus,"53.290984,-6.444452",http://www.top1000.ie/images/logo/applus,,,http://www.applus.com/,@ApplusRTD
