Name,Wikipedia Page,Description,Image,Birth Year,Age Term Began (approx.),Term Began,Year Term Began,Term Ended,Year Term Ended,Term length,Days in Term,Royal?,Current?,Birth Place (current city),Country of Birth (current country),Ruler of,Country of Ruled Territory (Current),Political Party,Studies,Role,Religion
Albert Anton (Schwarzburg-Rudolstadt),"http://en.wikipedia.org/wiki/Albert_Anton,_Prince_of_Schwarzburg-Rudolstadt","Albert Anton, Prince of Schwarzburg-Rudolstadt (14 November 1641 in Rudolstadt – 15 December 1710, ibid.) was the ruling Count of Schwarzburg-Rudolstadt from 1662 to 1710. He was raised to Imperial Prince in 1697, however, he chose not to accept his elevation. In 1710, he was elevated again, and this time, he accepted.",,1641,5,4 November 1646,1646,24 June 1710,1710,"63 years,232 days",23242,Yes,No,"Rudolstadt, Germany",Germany,Schwarzburg-Rudolstadt ,Germany,,,Count,
Louis XV of France,http://en.wikipedia.org/wiki/Louis_XV_of_France,"Louis XV (15 February 1710 – 10 May 1774), known as Louis the Beloved (Louis le bien aimé) was a monarch of the House of Bourbon who ruled as King of France and Navarre from 1 September 1715 until his death. He succeeded his great-grandfather Louis XIV at the age of five. Until he reached maturity in 1723, his kingdom was ruled by Philippe II, Duke of Orléans as Regent of France; the duke was his maternal great-uncle, as well as first cousin twice removed patrilineally. Cardinal Fleury was his chief minister from 1726 until the Cardinal's death in 1743, at which time the young king took sole control of the kingdom.",http://commons.wikimedia.org/wiki/Special:FilePath/LouisXV-Rigaud1.jpg?width=300,1710,5,1 September 1715,1715,10 May 1774,1774,"58 years,251 days",21435,Yes,No,"Versailles, France",France,France,France,,,King,
Pepi II Neferkare,http://en.wikipedia.org/wiki/Pepi_II_Neferkare,"Pepi II (2284 BC – after 2247 BC, probably either c. 2216 or c. 2184 BC [note 1]) was a pharaoh of the Sixth Dynasty in Egypt's Old Kingdom who reigned from c. 2278 BC. His throne name, Neferkare (Nefer-ka-Re ), means ""Beautiful is the Ka of Re "". He succeeded to the throne at age six, after the death of Merenre I .",http://commons.wikimedia.org/wiki/Special:FilePath/AnkhnesmeryreII-and-Son-PepiII-SideView_BrooklynMuseum.png?width=300,-2284,6,-2278,-2278,-2184,-2184,94 years (disputed),34333,Yes,No,,,Ancient Egypt,Egypt,,,Pharaoh,
Taejo of Goguryeo,http://en.wikipedia.org/wiki/Taejo_of_Goguryeo,"King Taejodae of Goguryeo (Claimed AD 47 - 165; 118 years) (r. 53 - 146; 93 years) was the sixth monarch of Goguryeo, the northernmost of the Three Kingdoms of Korea. He is sometimes called King Guckjo. He rose to the throne following the assassination of King Mobon. Under his reign, the young state expanded its territory and developed into a centrally ruled kingdom. His 93-year reign is thought to be the second longest of any monarch in the world, although this is disputed.",,47,6,53,53,146,146,93 years (disputed),33967 (disputed),Yes,No,,,Goguryeo ,North Korea,,,King,
Lý Nhân Tông,http://en.wikipedia.org/wiki/L%C3%BD_Nh%C3%A2n_T%C3%B4ng,"Lý Nhân Tông (22 February 1066–15 January 1127), given name Lý Càn Đức, was the fourth emperor of the Lý Dynasty, reigning over Vietnam from 1072 to his death in 1127. Succeeded his father Lý Thánh Tông at the age of only 7, during the early years Lý Nhân Tông reigned with the assistance of his mother the Empress Mother Ỷ Lan and the chancellor Lý Đạo Thành who were both considered competent regent and able to help the emperor to keep the prosperity of the country. Appreciated as a great emperor of the Lý Dynasty, Lý Nhân Tông had important contribution to the development of Đại Việt, especially the national education for Confucian learning with the first imperial examination and the first imperial school for Confucian students that were established by the order of the emperor. During his 55-year ruling that is the longest reign in the history of Vietnamese monarchs, Lý Nhân Tông also experienced several conflicts against Đại Việt's neighbours the Song Dynasty and the kingdom of Champa in which the Song-Đại Việt War (1075–1076) was the fiercest.",http://commons.wikimedia.org/wiki/Special:FilePath/Lý_Nhân_Tông.JPG?width=300,1066,6,1072,1072,1127,1127,55 years,20088,Yes,No,"Hanoi, Vietnam",Vietnam,Lý Dynasty ,Vietnam,,,Emperor,
Pedro II of Brazil,http://en.wikipedia.org/wiki/Pedro_II_of_Brazil,"Dom Pedro II (English: Peter II; 2 December 1825 – 5 December 1891), nicknamed ""the Magnanimous "", was the second and last ruler of the Empire of Brazil, reigning for over 58 years. [A] Born in Rio de Janeiro, he was the seventh child of Emperor Dom Pedro I of Brazil and Empress Dona Maria Leopoldina and thus a member of the Brazilian branch of the House of Braganza. His father's abrupt abdication and flight to Europe in 1831 left a five-year-old Pedro II as Emperor and led to a grim and lonely childhood and adolescence. Obliged to spend his time studying in preparation for rule, he knew only brief moments of happiness and encountered few friends of his age. His experiences with court intrigues and political disputes during this period greatly affected his later character. Pedro II grew into a man with a strong sense of duty and devotion toward his country and his people. On the other hand, he increasingly resented his role as monarch.",http://commons.wikimedia.org/wiki/Special:FilePath/Pedro_II_circa_1887b_transparent.png?width=300,1825,6,7 April 1831,1831,15 November 1889,1889,"58 years,222 days",21406,Yes,No,"Rio de Janeiro, Brazil",Brazil,Brazil,Brazil,,,King,
"Ulrich V, Count of Württemberg","http://en.wikipedia.org/wiki/Ulrich_V,_Count_of_W%C3%BCrttemberg","Ulrich V of Württemberg called ""der Vielgeliebte"" (the much loved) (1413 – 1 September 1480, Leonberg ), Count of Württemberg. He was the younger son of Count Eberhard IV and Henriette of Mömpelgard .",http://commons.wikimedia.org/wiki/Special:FilePath/UlrichV.jpg?width=300,1413,6,2 July 1419,1419,1 September 1480,1480,"61 years,61 days",22341,Yes,No,,,Württemberg-Stuttgart ,Germany,,,Count,
Karl (Nassau-Usingen),"http://en.wikipedia.org/wiki/Charles,_Prince_of_Nassau-Usingen","Charles, Prince of Nassau-Usingen (born 31 December 1712 in Usingen; died: 21 June 1775 in Biebrich ), was from 1718 to 1775 Prince of Nassau-Usingen .",http://commons.wikimedia.org/wiki/Special:FilePath/KarelNU.gif?width=300,1712,6,14 February 1718,1718,21 June 1775,1775,"57 years,127 days",20946,Yes,No,"Usingen, Germany",Germany,Nassau-Usingen ,Germany,,,Prince,
Ma’ad al-Mustansir Billah,http://en.wikipedia.org/wiki/Ma%27ad_al-Mustansir_Billah,"Abū Tamīm Ma'add al-Mustanṣir bi-llāh (Arabic: المستنصر ‎) (July 5, 1029 – January 10, 1094) was born in Cairo on 16th Jumada II, 420 AH and at the age of only eight months was declared to succeed his father. His name was Ma'd Abu Tamim, surnamed al-Mustansir bil-Lah ""The Asker Of Victory From God"". He ascended to the Fatimid Caliphate throne on 15th Shaban, 427/June 13, 1036 at the age of 6. During the early years of his Caliphate, the state affairs were administered by his mother. His period of Caliphate lasted for 60 years, the longest of all the caliphs, either in Egypt or elsewhere in Islamic states.",,1029,7,13 June 1036,1036,10 January 1094,1094,"57 years,211 days",21030,Yes,No,,,Fatimid Caliphate ,Egypt,,,Caliph,
"Honoré II, Prince of Monaco","http://en.wikipedia.org/wiki/Honor%C3%A9_II,_Prince_of_Monaco","Honoré II (24 December 1597 – 10 January 1662) was Sovereign Prince of Monaco. He was the first to be called Prince, but started his reign as Lord of Monaco .",http://en.wikipedia.org/wiki/Special:FilePath/Honore_II_of_Monaco.gif?width=300,1597,7,29 November 1604,1604,10 January 1662,1662,"57 years, 42 days",20861,Yes,No,,,Monaco,Principate of Monaco,,,Prince,
"Henry XVI, Duke of Bavaria","http://en.wikipedia.org/wiki/Henry_XVI,_Duke_of_Bavaria","Henry XVI of Bavaria (1386 – 30 July 1450, Landshut ), (German: Heinrich der Reiche, Herzog von Bayern-Landshut ), since 1393 Duke of Bavaria-Landshut. He was a son of duke Frederick and his wife Maddalena Visconti, a daughter of Bernabò Visconti .",http://commons.wikimedia.org/wiki/Special:FilePath/Heinrich_XVI..jpg?width=300,1386,7,4 December 1393,1393,30 July 1450,1450,"56 years,238 days",20692,Yes,No,Burghausen Castle,Germany,Bavaria-Landshut ,Germany,,,Duke,
"John II, Count of Nassau-Wiesbaden-Idstein","http://en.wikipedia.org/wiki/John_II,_Count_of_Nassau-Wiesbaden-Idstein","John II of Nassau-Wiesbaden-Idstein (born: 1419; died: 9 May 1480) was a son of Adolph II, Count of Nassau-Wiesbaden-Idstein and his wife Margarete of Baden, a daughter of Margrave Bernard I, Margrave of Baden-Baden en Anna of Oettingen. After his father's death in 1426, he ruled Nassau-Wiesbaden and Nassau-Idstein.",,1419,7,26 July 1426,1426,9 May 1480,1480,"53 years,288 days",19646,Yes,No,,,Nassau-Wiesbaden-Idstein ,Germany,,,Count,
Kangxi Emperor,http://en.wikipedia.org/wiki/Kangxi_Emperor,"The Kangxi Emperor (K'ang-hsi Emperor; Chinese: 康熙帝; pinyin: Kāngxī Dì; Wade–Giles: K'ang1-hsi1 Ti4; temple name: Shengzu (Sheng-tsu; Chinese: 聖祖; which means ""The Holy Lord""); Manchu: elhe taifin hūwangdi; Mongolian: Enkh Amgalan Khaan; 4 May 1654 – 20 December 1722) was the fourth emperor of the Qing Dynasty,  the first to be born on Chinese soil south of the Pass (Beijing) and the second Qing emperor to rule over China proper, from 1661 to 1722.",http://commons.wikimedia.org/wiki/Special:FilePath/Portrait_of_the_Kangxi_Emperor_in_Court_Dress.jpg?width=300,1654,7,7 February 1661,1661,20 December 1722,1722,"61 years,316 days",22596,Yes,No,"Beijing, China",China,Qing ,China,,,Emperor,
Ganga Singh,http://en.wikipedia.org/wiki/Ganga_Singh,"General Maharaja Sir Ganga Singh, GCSI, GCIE, GCVO, GCStJ, GBE, KCB (October 3, 1880, Bikaner – 2 February 1943, Bombay ), was the ruling Maharaja of the princely state of Bikaner (in present-day Rajasthan, India) from 1888 to 1943. He is widely remembered as a modern reformist visionary, and he was also the only ""non- White "" member of the British Imperial War Cabinet during World War I .",http://commons.wikimedia.org/wiki/Special:FilePath/Ganga_Singhji_Bahadur.jpg?width=300,1880,7,19 August 1887,1887,2 February 1943,1943,"55 years,167 days",20255,Yes,No,"Bikaner, India",India,Bikaner State ,India,,,King,
John I of Armagnac,http://en.wikipedia.org/wiki/John_I_of_Armagnac,"John I of Armagnac (1311 – 16 May 1373), son of Bernard VI and Cecilia Rodez, was Count of Armagnac from 1319 to 1373. In addition to Armagnac he controlled territory in Quercy, Rouergue and Gévaudan. He was the count who initiated the 14th century expansion of the county.",,1311,8,1319,1319,1373,1373,54 years,19723,Yes,No,,,Armagnac ,France,,,Count,
Ferdinand III of Sicily,http://en.wikipedia.org/wiki/Ferdinand_III_of_Sicily,"Ferdinand I (12 January 1751 – 4 January 1825) was the King of the Two Sicilies from 1816, after his restoration following victory in the Napoleonic Wars. Before that he had been, since 1759, Ferdinand IV of the Kingdom of Naples and Ferdinand III of the Kingdom of Sicily. He was deposed twice from the throne of Naples: once by the revolutionary Parthenopean Republic for six months in 1799 and again by Napoleon Bonaparte in 1805.",,1751,8,6 October 1759,1759,4 January 1825,1825,"65 years, 90 days",23831,Yes,No,,,Sicily,Italy,,,King,
Ranbir Singh,http://en.wikipedia.org/wiki/Ranbir_Singh_of_Jind,"Ranbir Singh (11 October 1879 – 31 March 1948) was the Maharaja of Jind (Panjab at that time, now Jind city falls in Haryana and the rest of his state is in Panjab). He ruled Jind from 1887 to 1948.",,1879,8,7 March 1887,1887,31 March 1948,1948,"61 years,24 days",22304,Yes,No,,,Jind State ,India,,,King,
Philipp (Hessen-Philippsthal),"http://en.wikipedia.org/wiki/Philip,_Landgrave_of_Hesse-Philippsthal","Philip of Hesse-Philippsthal (14 December 1655, Kassel – 18 June 1721, Aachen) was the son of William VI, Landgrave of Hesse-Kassel and Hedwig Sophia of Brandenburg. He was the first landgrave of Hesse-Philippsthal from 1663 to 1721 and the founder of the fifth branch of the house of Hesse .",,1655,8,16 July 1663,1663,18 June 1721,1721,"57 years,337 days",21156,Yes,No,,,Hesse-Philippsthal ,Germany,,,Landgrave,
"Frederick William, Prince of Hohenzollern-Hechingen","http://en.wikipedia.org/wiki/Frederick_William,_Prince_of_Hohenzollern-Hechingen",Friedrich Wilhelm of Hohenzollern-Hechingen (20 September 1663 in Hechingen – 14 November 1735 in Hechingen) was the fourth Prince of Hohenzollern-Hechingen and was also an imperial Field Marshal .,"http://commons.wikimedia.org/wiki/Special:FilePath/Friedrich_Wilhelm,_Fùrst_von_Hohenzollern-Hechingen_(1663-1735).jpg?width=300",1663,8,13 January 1671,1671,14 November 1735,1735,"64 years,305 days",23680,Yes,No,"Hechingen, Germany",Germany,Hohenzollern-Hechingen ,Germany,,,Prince,
Tshudpud Namgyal,http://en.wikipedia.org/wiki/Tshudpud_Namgyal,Tshudpud Namgyal (1785–1863) was king of Sikkim from 1793–1863. He gained independence from Nepal in 1815 and ruled under a British protectorate from 1861.,,1785,8,1793,1793,1863,1863,69 years,25202,Yes,No,,,Sikkim ,India,,,King,
Henry III (England),http://en.wikipedia.org/wiki/Henry_III_of_England,"Henry III (1 October 1207 – 16 November 1272), also known as Henry of Winchester, was King of England, Lord of Ireland and Duke of Aquitaine from 1216 until his death. The son of King John and Isabella of Angoulême, Henry assumed the throne when he was only nine in the middle of the First Barons' War. Cardinal Guala declared the war against the rebel barons to be a religious crusade and Henry's forces, led by William Marshal, defeated the rebels at the battles of Lincoln and Sandwich in 1217. Henry promised to abide by the Great Charter of 1225, which limited royal power and protected the rights of the major barons. His early rule was dominated first by Hubert de Burgh and then Peter des Roches, who reestablished royal authority after the war. In 1230 the King attempted to reconquer the provinces of France that had once belonged to his father, but the invasion was a debacle. A revolt led by William Marshal's son, Richard, broke out in 1232, ending in a peace settlement negotiated by the Church .",,1207,9,19 October 1216,1216,16 November 1272,1272,"56 years, 28 days",20482,Yes,No,,,England,United Kingdom,,,King,
"Friedrich III, Holy Roman Emperor","http://en.wikipedia.org/wiki/Friedrich_III,_Holy_Roman_Emperor","Frederick III (21 September 1415 – 19 August 1493), called the Peaceful, was the Holy Roman Emperor from 1452 until his death. Prior to his imperial coronation, he was hereditary Duke of Austria (as Frederick V) from 1424 and elected King of Germany (as Frederick IV) from 1440. He was the first emperor of the House of Habsburg. In 1493, he was succeeded by his son Maximilian I after ten years of joint rule.",,1415,9,10 June 1424,1424,19 August 1493,1493,"69 years, 70 days",25272,Yes,No,,,Inner Austria ,Germany,,,Emperor,
"Charles I, Count of Hohenzollern","http://en.wikipedia.org/wiki/Charles_I,_Count_of_Hohenzollern",Karl I of Hohenzollern (1516 in Brussels – 18 March 1576 at Sigmaringen Castle) was Count of County of Hohenzollern from 1525 to 1575. He was Imperial Archchamberlain and chairman of the Aulic Council .,,1516,9,15 January 1525,1525,18 March 1576,1576,"51 years, 63 days",18690,Yes,No,"Brussels, Belgium",Belgium,Hohenzollern ,Germany,,,Count,
"Leopold Louis, Count Palatine of Veldenz","http://en.wikipedia.org/wiki/Leopold_Louis,_Count_Palatine_of_Veldenz",Leopold Louis (German: Leopold Ludwig) (1 February 1625 – 29 September 1694) was the Duke of Veldenz from 1634 until 1694.,,1625,9,3 June 1634,1634,29 September 1694,1694,"60 years,118 days",22033,Yes,No,,,Palatinate-Veldenz ,Germany,,,Duke,
Vittorio Amedeo II di Savoia,http://en.wikipedia.org/wiki/Victor_Amadeus_II_of_Sardinia,"Victor Amadeus II (Vittorio Amedeo Sebastiano; 14 May 1666 – 31 October 1732) was Duke of Savoy from 1675 to 1730. He also held the titles of marquis of Saluzzo, duke of Montferrat, prince of Piedmont, count of Aosta, Moriana and Nizza. Louis XIV organised his marriage in order to maintain French influence in the Duchy but Victor Amadeus soon broke away from the influence of France. At his father's death in 1675, his mother took over a regency in the name of her nine-year-old son and would remain in de facto power till 1684 when Victor Amadeus banished her further involvement in the state. Having fought in the War of the Spanish Succession, he became king of Sicily in 1713 but he was forced to exchange this title and instead became king of Sardinia to which his direct descendants claim as part of the Kingdom of Italy. Victor Amadeus left a considerable cultural influence in Turin remodeling the Royal Palace of Turin, Palace of Venaria, Palazzina di caccia of Stupinigi as well as building the Basilica of Superga where he rests. ","http://commons.wikimedia.org/wiki/Special:FilePath/Maria_Giovanna_Battista_Clementi,_La_Clementina,_Portrait_of_Victor_Amadeus_II_of_Savoy,_during_the_siege_of_Turin_(1706),_Reggia_di_Venaria_(from_Castle_of_Racconigi).jpg?width=300",1666,9,12 June 1675,1675,3 September 1730,1730,"55 years, 83 days",20171,Yes,No,"Turin, Italy",Italy,Savoy ,Italy,,,"Count, Duke",
